siteID,blockID,treatment,plotID,burial_length,elements,value,detection_limit,burial_date,retrieval_date,notes
Lavisdalen,Lav1,FB,Lav1FB,36,P,1.36,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,FB,Lav1FB,36,Fe,1.5,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,FB,Lav1FB,36,Mn,0.31,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,FB,Lav1FB,36,Zn,0.45,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,FB,Lav1FB,36,S,11.23,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,FB,Lav1FB,36,Al,5.86,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GB,Lav1GB,36,Ca,837.05,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GB,Lav1GB,36,Mg,245.85,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GB,Lav1GB,36,K,40.61,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GB,Lav1GB,36,P,0.38,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GB,Lav1GB,36,Fe,1.17,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GB,Lav1GB,36,Mn,0.38,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GB,Lav1GB,36,Zn,0.59,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GB,Lav1GB,36,S,13.06,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GB,Lav1GB,36,Al,6.9,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GF,Lav1GF,36,NO3-N,8.08,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GF,Lav1GF,36,Ca,237.15,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GF,Lav1GF,36,Mg,68.92,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GF,Lav1GF,36,K,14.05,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GF,Lav1GF,36,P,2.15,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GF,Lav1GF,36,Fe,1.73,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GF,Lav1GF,36,Zn,0.28,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GF,Lav1GF,36,S,8.05,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,GF,Lav1GF,36,Al,6.32,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,FGB,Lav1FGB,36,NO3-N,5.2,2,2021-08-03,2021-09-08,Broken plastic purple probe
Lavisdalen,Lav1,FGB,Lav1FGB,36,Ca,620.78,2,2021-08-03,2021-09-08,Broken plastic purple probe
Lavisdalen,Lav1,FGB,Lav1FGB,36,Mg,200.27,4,2021-08-03,2021-09-08,Broken plastic purple probe
Lavisdalen,Lav1,FGB,Lav1FGB,36,K,145.27,4,2021-08-03,2021-09-08,Broken plastic purple probe
Lavisdalen,Lav1,FGB,Lav1FGB,36,P,0.55,0.2,2021-08-03,2021-09-08,Broken plastic purple probe
Lavisdalen,Lav1,FGB,Lav1FGB,36,Fe,1.59,0.4,2021-08-03,2021-09-08,Broken plastic purple probe
Lavisdalen,Lav1,FGB,Lav1FGB,36,Mn,0.8,0.2,2021-08-03,2021-09-08,Broken plastic purple probe
Lavisdalen,Lav1,FGB,Lav1FGB,36,Zn,0.67,0.2,2021-08-03,2021-09-08,Broken plastic purple probe
Lavisdalen,Lav1,FGB,Lav1FGB,36,S,12.09,2,2021-08-03,2021-09-08,Broken plastic purple probe
Lavisdalen,Lav1,FGB,Lav1FGB,36,Al,7.42,0.4,2021-08-03,2021-09-08,Broken plastic purple probe
Lavisdalen,Lav1,C,Lav1C,36,NH4-N,3.4,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,C,Lav1C,36,Ca,568.04,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,C,Lav1C,36,Mg,168.03,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,C,Lav1C,36,K,47.49,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,C,Lav1C,36,P,5.27,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,C,Lav1C,36,Fe,0.85,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,C,Lav1C,36,Mn,0.29,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,C,Lav1C,36,Zn,0.64,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,C,Lav1C,36,S,13.54,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav1,C,Lav1C,36,Al,6.15,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,NO3-N,2.86,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,NH4-N,4.38,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,Ca,698.32,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,Mg,209.79,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,K,45.81,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,P,2.12,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,Fe,2.11,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,Mn,0.75,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,Zn,0.95,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,B,0.94,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,S,12.06,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FB,Lav2FB,36,Al,13.96,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,NO3-N,2.62,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,Ca,1741.33,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,Mg,471.15,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,K,101.58,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,P,3.37,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,Fe,1.77,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,Mn,1.18,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,Zn,1.8,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,B,0.67,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,S,16.35,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GB,Lav2GB,36,Al,15.34,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GF,Lav2GF,36,NO3-N,5.88,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GF,Lav2GF,36,Ca,506.6,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GF,Lav2GF,36,Mg,169.61,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GF,Lav2GF,36,K,42.87,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GF,Lav2GF,36,P,2.23,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GF,Lav2GF,36,Fe,0.81,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GF,Lav2GF,36,Mn,0.47,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GF,Lav2GF,36,Zn,0.67,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GF,Lav2GF,36,S,8.17,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,GF,Lav2GF,36,Al,5.51,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,NO3-N,13.94,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,NH4-N,2.7,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,Ca,559.86,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,Mg,179.1,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,K,44.63,4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,P,1.06,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,Fe,1.45,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,Mn,0.48,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,Zn,0.88,0.2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,S,17.25,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,FGB,Lav2FGB,36,Al,6.72,0.4,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,C,Lav2C,36,NO3-N,5.22,2,2021-08-03,2021-09-08,NA
Lavisdalen,Lav2,C,Lav2C,36,NH4-N,2.32,2,2021-08-03,2021-09-08,NA
